name,status,description
Lesson plan template,Approved,
Beneficiary satisfaction,Approved,
Management and Governance,Approved,
Human Resource,Approved,
Access & Infrastructure,Approved,
Parent Teacher Meetings (PTMs),Approved,
Trignometric math,Approved,
Manual tag - sample,Approved,
Student learning,Approved,
Classroom observation,Approved,
Summer Learnings,Approved,
Teacher Professional Development,Approved,
Social Emotional Learning (SEL),Approved,
Monitoring & Evaluation (M&E),Approved,
Literacy,Approved,
Foundational Literacy & Numeracy (FLN),Approved,
Contextual Design,Approved,
Instructional Practices,Approved,
Assessment & Monitoring,Approved,
Primary Grades,Approved,
Monitoring & Assessment,Approved,
Early Childhood Education,Approved,"Early Childhood Education (ECE) Initiatives"
Data-driven Planning,Approved,"Data-driven Planning in Education"
Systems Strengthening,Approved,"Systems Strengthening in Education"
Leadership & Monitoring,Approved,"School Leadership Monitoring & Planning"
Student Voice & Agency,Approved,"Student Voice & Agency in School Governance"
Teaching Toolkit,Approved,"Teaching Toolkit (Practical Classroom Resources)"
Instructional Design,Approved,"Instructional Design for Education Programmes"
District Implementation,Approved,"District-level Programme Implementation"
Process Guide,Approved,"Process Guides for Implementation"
Phonological Awareness,Approved,"Phonological Awareness Development"
Conceptual Learning,Approved,"Conceptual Learning Approaches"
Early Years,Approved,"Early Years Education (Pre-primary and Kindergarten)"
Math Pedagogy,Approved,"Mathematics Pedagogical Practices"
Wellbeing,Approved,"Wellbeing Initiatives for Students/Teachers"
Low-cost TLM,Approved,"Low-cost Teaching-Learning Materials"
Documentation SOP,Approved,"Standard Operating Procedures for Documentation"
Teacher Practices,Approved,"Teacher Practices in Classroom Instruction"
Community of Practice,Approved,"Community of Practice for Educators"
Classroom Practices,Approved,"Classroom Practices for Student Engagement"
Teacher Capacity Building,Approved,"Teacher Capacity Building Programmes"
District,Approved,"District-level Education Context"
Shikshagraha CoE Asset,Approved,"Shikshagraha CoE Asset Classification"
Data-Driven Planning,Approved,"Data-Driven Planning in Education"
System Diagnostics,Approved,"Education System Diagnostics and Analysis"
Teaching Pedagogy,Approved,"Teaching Pedagogical Practices"
STEM,Approved,"STEM Education (Science Technology Engineering Mathematics)"
Education Equity,Approved,"Education Equity Initiatives"
Middle/Secondary School,Approved,"Middle/Secondary School Education Context"
Government Schools,Approved,
Visibility,Approved,
Toolkits,Approved,
Training Tool,Approved,
Orientation,Approved,
NIPUN Bharat,Approved,"NIPUN Bharat FLN Mission Alignment"
Math,Approved,
Planning Tools,Approved,
HPS,Approved,"High Performing Schools (HPS) Framework"
Templates,Approved,
Observation,Approved,
Tools,Approved,
Policy Advocacy,Approved,
School Improvement,Approved,
Teacher Leadership,Approved,
Access to Education,Approved,
Student Retention,Approved,
Financial Aid Awareness,Approved,
Scholarships,Approved,
Process Innovation,Approved,
Attendance,Approved,
Teaching Techniques,Approved,
Collaborative Practices,Approved,
Technology Integration,Approved,
Public Speaking,Approved,
Action Research,Approved,
Classroom Innovation,Approved,
Continuous Improvement,Approved,
Self-Awareness,Approved,
Attendance & Motivation,Approved,
Exam Readiness,Approved,
Secondary Education,Approved,
Recognition and Appreciation,Approved,
Teacher Collaboration,Approved,
Mentorship,Approved,
Experiential Learning,Approved,
Student Skills Development,Approved,
Entrepreneurship,Approved,
Agency,Approved,
Creativity,Approved,
Classroom Environment,Approved,
Gamification,Approved,
Inclusivity,Approved,
School Environment,Approved,
Student Voice,Approved,
Math Games,Approved,
Student Engagement,Approved,
Numeracy,Approved,
Collaborative Pedagogy,Approved,
Classroom Engagement,Approved,
Digital Tools,Approved,
Feedback Systems,Approved,
Peer Observation,Approved,
Literacy and Numeracy,Approved,
Academic Talent Showcases,Approved,
Assessment,Approved,
Pedagogy,Approved,
Writing,Approved,
Classroom Strategy,Approved,
Vocabulary,Approved,
Confidence Building,Approved,
Oral Language,Approved,
Speaking Skills,Approved,
SEDG,Approved,"Socially and Economically Disadvantaged Groups Inclusion"
Community Engagement,Approved,
Inclusion,Approved,
Classroom Activities,Approved,
English Pedagogy,Approved,
Grammar,Approved,
Foundational Skills,Approved,
Literacy Development,Approved,
Word Recognition,Approved,
Reading,Approved,
Global Best Practice,Approved,
Reflective Practice,Approved,
Ethics,Approved,
Whole Child Development,Approved,
Student Agency,Approved,
SEL,Approved,"Social and Emotional Learning (SEL)"
Middle School (transition readiness),Approved,
Democratic Participation,Approved,
School Culture,Approved,
Life Skills,Approved,
SLDP,Approved,"School Leadership Development Programme"
Co-leadership,Approved,
SDMC,Approved,"School Development & Management Committee Strengthening"
DIET,Approved,
Government Collaboration,Approved,
District Transformation,Approved,
School Leadership,Approved,
Teaching Learning Materials,Approved,
Classroom Practice,Approved,
Project Based Learning,Approved,
NEP 2020,Approved,"NEP 2020 Alignment (policy-compliant education practices)"
Leadership,Approved,
Rural Outreach,Approved,
Child Rights,Approved,
Parent & Community Engagement,Approved,
Teaching Practice,Approved,
Classroom Culture,Approved,
21st Century Skills,Approved,
Classroom Collaboration,Approved,
Student Leadership,Approved,
Peer Teaching,Approved,
Teacher Support,Approved,
FLN,Approved,"Foundational Literacy & Numeracy (Grades 1–3)"
M&E,Approved,"Monitoring & Evaluation (programme impact tracking)"
Peer Learning,Approved,
Movement Building,Approved,
Systems Change,Approved,
Collectivisation,Approved,
Education Leadership,Approved,
Middle School,Approved,
Systemic Visibility,Approved,
Anganwadi,Approved,
Art and Culture,Approved,
Community-based Education,Approved,
Rural Engagement,Approved,
Summer Learning,Approved
